task_id,artwork_slug,title,reported_outcome,next_action
e6077a46-414f-4be4-8c50-b15acf6de3cb,europe-met-the-met-9f3b83b777e5-apples-and-grapes,Apples and Grapes,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
c9badd82-1a44-435e-b562-eff16caa4a16,europe-nga-9e389ff65138-chester-dale,Chester Dale,verified_metadata_only,"Exact accession and objectid verified in the holding museum’s public objects.csv. Individual web page returned HTTP 403. The dataset is metadata evidence only, not an image licence."
6a1ed4c9-9d68-4d7b-b3d1-74c172b2ad67,europe-normandy-rouen-37202e530b5b-democrite,Démocrite,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
3694fe12-14f8-488a-ada0-7a0a9ed1dce6,uffizi-Q3605541-adoration-of-the-magi-tornabuoni-tondo,Adoration of the Magi (Tornabuoni tondo),needs_review,"Visually matched the 1487 Tornabuoni tondo, accession 1619: Madonna and Child centred, kings kneeling in the foreground and an open classical structure behind. Full tondo is visible with its elaborate frame and surrounding wall. Rights and presentation require review."
f5695df7-f88f-4cc1-b0ce-84ceadbf1ccb,europe-ng-b3d9a0a7e535-at-the-cafe-de-chateaudun,At the Café de Châteaudun,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
837f46e0-1629-42ae-8fbd-ca12be547a0b,europe-gulbenkian-72b3bebc5760-boy-blowing-bubbles,Boy Blowing Bubbles,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
20c43217-27cf-5f96-afc1-3b61499de51a,wikimedia-artwork-q123348053,Bush,verified_metadata_only,Catalogue raisonné: Woll M 1868 App. The photograph date 2020-03-10 is not the artwork creation date.
2ad5ad3b-7101-4dec-b428-cda9133cd9cb,europe-bilbao-2e4cf79cd1f8-saint-francis-in-prayer-before-the-crucifix,Saint Francis in Prayer Before the Crucifix,verified_metadata_only,Verified through the Basque Government Museotik institutional catalogue. Distinguish other versions of the same composition.
ab575d17-6369-41c6-89ae-3f667ec00f1e,europe-joconde-m5077-6ce8e2f3b12e-andre-ernest-gretry-1741-1813,ANDRE ERNEST GRETRY (1741-1813),verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
dc93797d-2c4d-4dab-9c6a-5d0ebc275f1f,europe-joconde-m0065-1039d75179a9-arabe,ARABE,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
3de57041-0ffc-4793-8a8c-d458804ae6f3,europe-popular-ng-50464e574b6d-a-cup-of-water-and-a-rose,A Cup of Water and a Rose,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
0d734755-4a3c-40ac-8775-4847dcdf9226,europe-joconde-m0629-98b7b03f2ed0-allegorie-de-la-peinture,Allégorie de la peinture,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
e4d9be8a-a235-4924-9280-7d0a5d9ca950,europe-joconde-m0065-4e54eb60114d-l-homme-a-la-main-sur-le-coeur,L'HOMME A LA MAIN SUR LE COEUR,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
0937efc0-ef41-4356-b409-e90bdb2eeafc,mam-Q3232010-the-two-fridas-las-dos-fridas,The Two Fridas (Las dos Fridas),needs_review,Attempted supplied/source-discovered URL https://mam.inba.gob.mx. Access failed: HTTP Error 502: Bad Gateway. The supplied museum homepage is not an exact object record. An accessible institutional Las dos Fridas record is still needed.
452ede10-288e-4d8d-8ac8-b5a5c78e71c8,europe-met-the-met-e20e7d8528dd-a-garden-chair,A Garden Chair,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
13897fa3-398e-4cf5-8ad9-57657e6d889a,europe-tate-307036009ea8-clothes-on-the-grass,Clothes on the Grass,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains."
c08ca5d3-8a58-455c-bfa4-c4719436ed65,europe-accademia_venice-23dfb4c663ef-la-tempesta,La tempesta,needs_review,Official narrative reports proposed dates from 1503 to 1509 and prefers a commission around 1504. Commission timing is not an exact creation date. Narrative also gives conflicting acquisition histories (1932 in the catalogue field; 1856 in text). No acquisition or ownership change proposed.
fc86d6a9-19ab-5ed4-87ac-94c26c8b65a9,wikimedia-artwork-q3618200,Annunciation to Saint Anne,needs_review,"Attempted supplied/source-discovered URL https://www.wikidata.org/wiki/Q3618200. Only the Wikidata discovery record was retrieved. Creation date, fresco classification and the exact Scrovegni Chapel scene still need independent institutional corroboration."
dee4b3d2-928d-4a1c-95ca-52a6078e1d21,europe-sirbec-castello-sforzesco-art-collections-8789f3a25746-comunione-di-santa-lucia,Comunione di Santa Lucia,verified_metadata_only,Regione Lombardia SIRBeC record retrieved through public web lookup after direct retrieval failed. Preserve this small physical study separately from other compositions.
f0ac5fa2-ae80-4365-bfd8-8184fb1b5c82,europe-joconde-m0332-9a04e324a805-l-ivresse-de-noe-la-derision-de-noe,L'Ivresse de Noé ; La Dérision de Noé,verified_metadata_only,"Current POP attribution is Giovanni Bellini; the record preserves former attributions to Cariani, Giorgione and Titian. Do not convert former attributions into additional primary creators."
7e303d22-59c1-41e7-b954-ce76d44be098,europe-lombardia-museo-civico-ala-ponzone-8b32d5e5db9a-scherzo-di-ortaggi-l-ortolano,Scherzo di ortaggi (L'Ortolano),blocked,Attempted supplied/source-discovered URL https://www.lombardiabeniculturali.it/opere-arte/schede/CR230-00013. Access failed: HTTP Error 502: Bad Gateway. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
a330da9d-dff3-498c-bd72-a9115d16109f,europe-belvedere-e2c400bc3c94-judith,Judith,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
c6268d0b-1ae9-47ca-8a88-83ad3c39c132,europe-joconde-m0332-99db33fd3c88-autoportrait,Autoportrait,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
8e9d58f2-877e-41bc-8f57-ab86f1c2f13f,europe-joconde-m5077-bb04fc48396a-bataille-d-inkermann-5-novembre-1854,BATAILLE D'INKERMANN.5 NOVEMBRE 1854,verified_metadata_only,"The battle date 5 November 1854 belongs to the depicted event, not a verified creation date. Retain the source creation-period wording."
a5d1310b-5732-43f1-9ae0-a3888df548dd,europe-joconde-m0562-1df4f25d71f4-femme-se-frisant,Femme se frisant,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
4b40654e-1d08-404d-9fd5-79a041aee024,europe-joconde-m0915-8dcda37cf830-academie-d-homme,Académie d'homme,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
12998758-d3ae-4cc1-9aa6-f79c47da7306,europe-chicago-art-institute-of-chicago-c619be86cbb0-dahlia-and-daisies-in-a-vase,Dahlia and Daisies in a Vase,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
225f59fd-7b71-4726-94e5-61ae2fbf93f5,europe-berlin-99fa320d4036-john-on-patmos-scenes-of-the-passion-of-christ,John on Patmos / Scenes of the Passion of Christ,needs_review,"Recto and verso share accession 1647A. The source displays a composite of both faces. Image-specific PDM 1.0 credit was found, but this composite was not visually inspected; direct image fields are withheld pending inspection."
01487d9b-145e-4bc8-af01-06eb3f690123,europe-joconde-m0137-c1224dda8015-don-quichotte-a-cheval,Don Quichotte à cheval,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
52ca6635-e406-44ce-9853-1e8d87bd1c2f,europe-popular-repin-russian-museum-46d98d517626-portrait-of-vera-repina,Portrait of Vera Repina,verified_metadata_only,Source gives dimensions 59 × 49 without an explicit unit in the retrieved text; no unit inferred.
3cc2302d-351c-4a7a-afb5-f855b89f12f6,europe-tate-b548ebbafabf-a-lady-in-a-van-dyck-costume,A Lady in a Van Dyck Costume,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains."
ac7b9af1-de6b-4258-85a6-4a887a53c1d7,met-488978-autumn-rhythm-number-30-1950,"Autumn Rhythm: Number 30, 1950",verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
33edaa32-7413-4497-b230-7fc4febe3e6e,europe-joconde-m0677-1602e6d37e45-academie-d-homme-patrocle-ancien-titre,Académie d'homme ; Patrocle (ancien titre),verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
bb44988b-a77f-4b20-a174-29b60f9a19b5,europe-tate-db3cec49f99e-crepuscule-in-flesh-colour-and-green-valparaiso,Crepuscule in Flesh Colour and Green: Valparaiso,blocked,Attempted supplied/source-discovered URL https://www.tate.org.uk/art/artworks/whistler-crepuscule-in-flesh-colour-and-green-valparaiso-n05065. Access failed: HTTP Error 404: Not Found. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
35e5c9af-3116-46a3-80d6-347167bce247,europe-groeninge-cb259d81700c-madonna-with-canon-joris-van-der-paele,Madonna with Canon Joris van der Paele,verified_metadata_only,The record says Publiek Domein but that wording alone is not normalized to an invented licence URI. Linked IIIF manifest remains to be checked for exact image rights.
bf8ea2e3-007b-4014-93bc-8f216c7a9760,europe-joconde-m0743-b3c9a8953241-arlequin-empereur-dans-la-lune,Arlequin empereur dans la lune,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
06815a81-55e9-4a79-bfb0-3ec7259eb01a,europe-joconde-m0607-9813ecdf9852-academie-d-homme,Académie d'homme,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
a21e4c6e-a706-4fbd-acb1-bbb232718a29,europe-joconde-m0748-b908695830d8-a-marino-pres-de-rome,A MARINO PRES DE ROME,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
aaacfb41-d134-4b83-8686-fff2bfb864b7,europe-joconde-m0685-a8d95797ab06-academie-d-homme,Académie d'homme,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
cabb60ff-d4cf-4416-8d96-a27054dbe5f3,europe-joconde-m0917-15e8797c75a8-allegorie,Allégorie,needs_review,"Source reports conflicting size statements: 32.6 × 41 cm and 40.7 × 32.8 cm. Resolve dimension order and object measurement before proposing normalized dimensions. Former Vleughels attribution is historical, not another primary creator."
7cb1ef19-e6e0-4175-9997-0df52c7ddf3f,europe-tate-9dbdea20ea50-a-star-caresses-the-breast-of-a-negress-painting-poem,A Star Caresses the Breast of a Negress (Painting Poem),verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains."
1cea3feb-6e0d-47c9-9b20-e993383b389e,europe-mauritshuis-67180b0be0d9-diana-and-her-nymphs,Diana and her Nymphs,needs_review,"Museum page recovered through public web lookup after direct HTTP 403. Commons candidate https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Diana_and_her_Nymphs_-_406_-_Mauritshuis.jpg claims PDM, while the holding museum offers non-commercial image use and separate commercial permission. Resolve the exact reproduction rights conflict; candidate not visually inspected."
570b2d13-a254-545d-b9fc-046687b2ae4c,wikimedia-artwork-q124705682,Haymaking,blocked,Attempted supplied/source-discovered URL https://my.tretyakov.ru/app/masterpiece/8850?lang=en. Access failed: The read operation timed out. Wikidata/Commons leads do not replace the inaccessible holding-museum record; exact physical version remains unverified.
1b4d4dc2-f5a7-479d-bf76-f620226717f7,europe-sirbec-pinacoteca-ambrosiana-3ba8815c6a26-ritratto-di-musico,Ritratto di Musico,blocked,Attempted supplied/source-discovered URL https://www.lombardiabeniculturali.it/opere-arte/schede/L0040-00015. Access failed: HTTP Error 502: Bad Gateway. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
dda633a3-487c-516f-86ec-163adaa5c755,wikimedia-artwork-q104526038,Portrait of Georg Spalatin,verified_metadata_only,"The official page says Public Domain beside the downloads, but no accepted exact licence URI was established for a viewed file. Do not assume oil on oak from the broader hardwood/mixed-technique description."
75f330eb-78b3-476c-a087-e7f5f1f54c89,europe-joconde-m5029-678b52b25444-abraham-et-les-trois-anges,ABRAHAM ET LES TROIS ANGES,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
e75f970e-70c4-45dc-8c4a-22157e1c1ccc,europe-nga-37d66255f4d5-a-moment-of-calm,A Moment of Calm,verified_metadata_only,"Exact accession and objectid verified in the holding museum’s public objects.csv. Individual web page returned HTTP 403. The dataset is metadata evidence only, not an image licence."
a21c2828-142f-49fb-b035-95fb6fb8d3ec,europe-ng-6a6207f3862f-a-bacchanalian-revel-before-a-term,A Bacchanalian Revel before a Term,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
77561fc5-91f5-4375-a94d-01cee2c6674b,europe-tate-70f875787903-ambassador-ivan-maisky,Ambassador Ivan Maisky,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains."
f38af67a-c80d-44f1-a5c9-b287ce8cd8cb,europe-nga-062d1d3a5121-a-glass-on-a-table,A Glass on a Table,verified_metadata_only,"Exact accession and objectid verified in the holding museum’s public objects.csv. Individual web page returned HTTP 403. The dataset is metadata evidence only, not an image licence."
08aa8ad6-30df-4e8b-87ac-e1a45cf8cae7,europe-accademia_venice-74fdee7cf638-convito-in-casa-di-levi,Convito in casa di Levi,verified_metadata_only,Museum record identifies the support as canvas. The proposed medium retains that level of specificity. The original Last Supper subject was retitled following the Inquisition inquiry.
8e7e89d4-74fa-4df2-9c3d-5a452448395a,europe-ng-5c8a7548449e-an-old-woman-with-a-rosary,An Old Woman with a Rosary,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
4ead9c29-182d-4c00-81fe-5a6cd3803ea3,europe-pushkin-kamis-823fb9478ae3-death-landscape-with-peacocks,"""Death"". Landscape with Peacocks",blocked,Attempted supplied/source-discovered URL https://collection.pushkinmuseum.art/entity/OBJECT/78108. Access failed: The read operation timed out. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
c7b3c9c6-35e7-4504-bfa7-1f72cefd8ee4,europe-joconde-m0639-908726f78531-17-gewurze-1932-69-m-9-17-epices-traduction,17 Gewürze 1932.69 (M 9) ; 17 épices (Traduction),verified_metadata_only,"Source classification is painting. Materials include water-based paint, possible oil, ink and possibly silk mounted on card; preserve source question marks, not a certain oil/canvas claim."
70016db9-7f12-4df3-b413-4bbf0f5908b8,europe-joconde-m0016-35b501a54b60-antibes-le-soir,"Antibes, le soir",verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
4d1eff69-236e-4d97-aae8-ff87839daafa,europe-ng-fc631acd2218-a-landscape-with-a-shepherd-and-his-flock,A Landscape with a Shepherd and his Flock,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
1098d0cc-cebf-4d84-a8de-17f917e527de,europe-popular-ng-3e02648ee02e-saint-michael,Saint Michael,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
b42ecefe-91b6-482f-afe5-6e13fb98d85d,europe-normandy-muma-ec8438988212-baie-de-salerne-ou-paysage-du-midi,Baie de Salerne ou Paysage du midi,verified_metadata_only,Image credit © MuMa / Florian Kleinefenn; no explicit accepted image licence found. Accession not supplied in the retrieved object page.
cada44c6-3f5e-42c0-96a1-c66d4237a1c0,europe-tate-e9225aa94deb-composition-b-no-ii-with-red,Composition B (No.II) with Red,blocked,Attempted supplied/source-discovered URL https://www.tate.org.uk/art/artworks/mondrian-composition-b-noii-with-red-t07560. Access failed: HTTP Error 404: Not Found. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
048a0ab4-89f7-4a9d-a9d6-7f9649e7acc2,europe-popular-caen-2533fdca5f39-le-mariage-de-la-vierge-le-sposalizio-autre-titre,Le Mariage de la Vierge ; Le Sposalizio (autre titre),verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
a22ad857-322a-49e5-b6ab-120e8a5bdf3f,europe-joconde-m5052-3752d78997ea-la-madone-de-la-maison-d-orleans,LA MADONE DE LA MAISON D'ORLEANS,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
0792acdc-9767-419d-bcb0-db81719aea1e,europe-ng-4fc8593f79f3-a-bearded-man-in-a-cap,A Bearded Man in a Cap,verified_metadata_only,Late 1650s is a qualified decade. Bounds retain the whole decade 1650–1659; no unsupported narrower late-decade range is invented.
99dce430-1706-4274-9cc7-441ac2860f73,europe-nga-197b01e7a5a7-la-condition-humaine,La condition humaine,verified_metadata_only,"Exact accession and objectid verified in the holding museum’s public objects.csv. Individual web page returned HTTP 403. The dataset is metadata evidence only, not an image licence."
56fa230d-3c02-42d1-8807-e9feb6a05802,europe-chicago-art-institute-of-chicago-2fd578fbc2c6-a-chemist-lifting-with-extreme-precaution-the-cuticle-of-a-grand-piano,A Chemist Lifting with Extreme Precaution the Cuticle of a Grand Piano,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
aa9c276c-7e29-47db-8af1-91e8332a6a78,europe-pushkin-e02b1e30851b-annuciation,Annuciation,needs_review,"The record for Ж-1612 describes a panel paired with Ж-1610, while the heading describes two shutters (Gabriel and the Virgin). Preserve the physical panels separately. Catalogue heading names Botticelli, but the discussion judges pupil execution from his design more likely. Resolve object coverage and primary/workshop attribution before import."
275a83e7-7e3f-464c-972c-851864c5fb90,europe-brera-1a1d6ef41dbf-autoritratto-di-sofonisba-anguissola,Autoritratto di Sofonisba Anguissola,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
c6213bfe-a68a-4f95-9e94-9586e2cafdcd,europe-popular-ng-cb3dc252f1b5-a-horse-frightened-by-lightning,A Horse frightened by Lightning,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
4ae9c806-a245-410b-8700-374697c113a3,europe-popular-ng-1b0c8a0882ef-christ-washing-the-feet-of-the-disciples,Christ washing the Feet of the Disciples,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
0e3129aa-d0fb-47a3-bf26-0306b66ba9e8,europe-popular-goulandris-museum-d5652c26023e-beide-gestreift,Beide gestreift,verified_metadata_only,"The verso inscription VK / N° 576 is the artist’s number, not a verified museum accession. Catalogue raisonné Roethel and Benjamin no. 1021. No accession is inferred from either number."
2da0bdb3-2083-4eac-b8dd-38457da29a9c,europe-lombardia-accademia-carrara-b6b5a47a702f-salita-di-cristo-al-monte-calvario,Salita di Cristo al monte Calvario,blocked,Attempted supplied/source-discovered URL https://www.lombardiabeniculturali.it/opere-arte/schede/C0050-00617. Access failed: HTTP Error 502: Bad Gateway. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
3e8c576c-de69-4378-b110-e46e8d217104,europe-joconde-m0729-a7fbc729db00-chemin-montant-au-soleil,Chemin montant au soleil,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
8a812ae2-6aea-4414-905c-2acb7a8a6bcc,europe-met-the-met-49c3adda54bf-flower-vendor,Flower Vendor,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
038e4bb2-16af-4e42-a8ff-3bb8e5d69ab0,europe-sirbec-museo-poldi-pezzoli-1bc8734b2e1b-madonna-col-bambino,Madonna col Bambino,blocked,Attempted supplied/source-discovered URL https://www.lombardiabeniculturali.it/opere-arte/schede/RL480-00037. Access failed: HTTP Error 502: Bad Gateway. No accessible independently authoritative replacement was established in this pass. Further object and image research remains.
09f91455-15d7-4b2f-802f-b9afd36fa5cd,europe-joconde-m0065-2d973fba988e-la-mise-au-tombeau,LA MISE AU TOMBEAU,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
db630abb-aa0c-439f-b4da-98439329a630,europe-popular-ng-bba253403b9f-portrait-of-don-justino-de-neve,Portrait of Don Justino de Neve,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
41a34236-7b20-4eb7-8a53-f797c3f3addb,europe-popular-marmottan-museum-c6cb782be51d-au-bord-du-lac,Au bord du lac,verified_metadata_only,Museum identifies the work as unsigned.
3a57d9ce-bda3-4ad9-8c30-ead6ec93e194,europe-sirbec-castello-sforzesco-art-collections-f017c09ae328-ritratto-di-lorenzo-lenzi,Ritratto di Lorenzo Lenzi,needs_review,"SIRBeC catalogue heading attributes to Bronzino, while commentary preserves parallel Pontormo attribution and alternative dating around 1532. Mixed circa/before chronology cannot be faithfully represented by one precision enum; keep wording and review."
39223f70-dc58-4212-bd5a-828cfb36e80f,europe-pushkin-1fe29765342c-autumn-morning-in-eranyi,Autumn morning in Eranyi,verified_metadata_only,"Legacy page emits server warnings, but exact object facts and accession remain readable."
36e93be4-8191-433d-9e8b-eecdc7df9304,europe-borghese-3f97097250ae-david-with-the-head-of-goliath,David with the Head of Goliath,needs_review,"Institution offers two competing date ranges, not a single continuous creation interval. Do not collapse to one exact date."
f53a5576-7869-4c99-803b-3e6acdc16709,europe-hamburg-bd22fac219c7-wanderer-uber-dem-nebelmeer,Wanderer über dem Nebelmeer,verified_metadata_only,Current holding record dates the work around 1817. Preserve this over the common 1818 date in secondary descriptions. Long-term loan from Stiftung Hamburger Kunstsammlungen; do not infer museum ownership. Commons candidate traced to a ticketing site and was not selected or visually inspected.
7b279394-3de0-43f8-bda7-a859e6bc96f9,europe-popular-ng-aliases-831eb29786ca-a-view-in-rome,A View in Rome,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
