artist_slug,artist_name,reported_outcome,next_action
paolo-veronese-q9440,Paolo Veronese,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
diego-rivera-q171128,Diego Rivera,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
paul-cezanne-q35548,Paul Cézanne,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
rembrandt,Rembrandt van Rijn,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
max-ernst-q154842,Max Ernst,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jean-francois-millet-q148458,Jean-François Millet,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
francisco-goya-q5432,Francisco Goya,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
amedeo-modigliani-q120993,Amedeo Modigliani,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
henri-matisse-q5589,Henri Matisse,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
salvador-dali-q5577,Salvador Dalí,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
rene-magritte-q7836,René Magritte,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
edgar-degas-q46373,Edgar Degas,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jacques-louis-david-q83155,Jacques-Louis David,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
honore-daumier-q187506,Honoré Daumier,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
bronzino-q7803,Bronzino,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
theodore-gericault-q184212,Théodore Géricault,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
bartolome-esteban-murillo-q192062,Bartolomé Esteban Murillo,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
james-abbott-mcneill-whistler-q203643,James Abbott McNeill Whistler,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
ilya-repin-q172911,Ilya Repin,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
georges-braque-q153793,Georges Braque,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
j-m-w-turner-q159758,J. M. W. Turner,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
wassily-kandinsky-q61064,Wassily Kandinsky,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
peter-paul-rubens-q5599,Peter Paul Rubens,needs_review,Country evidence researched. Additional museum paintings were sought in the NGA objects dataset and checked against the complete supplied active/archived index and redirects. See duplicate_check_audit.csv.
camille-pissarro-q134741,Camille Pissarro,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
henri-de-toulouse-lautrec-q82445,Henri de Toulouse-Lautrec,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
pablo-picasso-q5593,Pablo Picasso,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
claude-monet,Claude Monet,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jean-auguste-dominique-ingres-q23380,Jean-Auguste-Dominique Ingres,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
leonardo-da-vinci,Leonardo da Vinci,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jean-baptiste-camille-corot-q148475,Jean-Baptiste-Camille Corot,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
piero-della-francesca-q5822,Piero della Francesca,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
frans-hals-q167654,Frans Hals,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
gustav-klimt-q34661,Gustav Klimt,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
giotto,Giotto di Bondone,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
